character,unicode,short description,tags,LLM description
🤦🏿‍♂,U+1F926 1F3FF 200D 2642,MAN FACEPALMING DARK SKIN TONE,"['man' 'facepalming' 'dark skin tone' 'frustration' 'embarrassment'
 'disappointment' 'regret']","This emoji shows a man with a dark skin tone covering his face with his hands in a gesture of frustration or embarrassment, often used to express feelings of disappointment or regret."
🤦🏻‍♂️,U+1F926 1F3FB 200D 2642 FE0F,MAN FACEPALMING LIGHT SKIN TONE,"['man' 'facepalming' 'light skin tone' 'frustration' 'embarrassment'
 'disbelief']","This emoji shows a man with a light skin tone facepalming, an expression used to indicate frustration, embarrassment, or disbelief in response to something."
🤦🏻‍♂,U+1F926 1F3FB 200D 2642,MAN FACEPALMING LIGHT SKIN TONE,"['man' 'facepalming' 'light skin tone' 'frustration' 'embarrassment'
 'disbelief']","This emoji shows a man with a light skin tone facepalming, an expression used to indicate frustration, embarrassment, or disbelief in response to something."
🤦🏾‍♂️,U+1F926 1F3FE 200D 2642 FE0F,MAN FACEPALMING MEDIUM-DARK SKIN TONE,"['man' 'facepalming' 'medium-dark skin tone' 'frustration'
 'disappointment' 'embarrassment' 'regret']","This emoji shows a man with a medium-dark skin tone covering his face with his hands in a gesture of frustration or embarrassment, often used to express feelings of disappointment or regret."
🤦🏾‍♂,U+1F926 1F3FE 200D 2642,MAN FACEPALMING MEDIUM-DARK SKIN TONE,"['man' 'facepalming' 'medium-dark skin tone' 'frustration'
 'disappointment' 'embarrassment' 'regret']","This emoji shows a man with a medium-dark skin tone covering his face with his hands in a gesture of frustration or embarrassment, often used to express feelings of disappointment or regret."
🤦🏼‍♂️,U+1F926 1F3FC 200D 2642 FE0F,MAN FACEPALMING MEDIUM-LIGHT SKIN TONE,"['man' 'facepalming' 'frustration' 'embarrassment'
 'medium-light skin tone']","This emoji shows a man with a medium-light skin tone facepalming, an action often used to express frustration, embarrassment, or disbelief."
🤦🏼‍♂,U+1F926 1F3FC 200D 2642,MAN FACEPALMING MEDIUM-LIGHT SKIN TONE,"['man' 'facepalming' 'frustration' 'embarrassment'
 'medium-light skin tone' 'gesture']","This emoji shows a man with a medium-light skin tone covering his face with his hands in a gesture of frustration or embarrassment, often used to express feelings of annoyance or regret."
🤦🏽‍♂️,U+1F926 1F3FD 200D 2642 FE0F,MAN FACEPALMING MEDIUM SKIN TONE,['man' 'facepalming' 'frustration' 'embarrassment' 'medium skin tone'],"This emoji shows a man with a medium skin tone facepalming, an action often used to express frustration, embarrassment, or disbelief."
🤦🏽‍♂,U+1F926 1F3FD 200D 2642,MAN FACEPALMING MEDIUM SKIN TONE,"['man' 'facepalming' 'medium skin tone' 'frustration' 'embarrassment'
 'humor' 'disbelief']","This emoji shows a man with a medium skin tone facepalming, expressing frustration, embarrassment, or disbelief in a humorous way."
👨‍🏭,U+1F468 200D 1F3ED,MAN FACTORY WORKER,['man' 'factory worker' 'labor' 'industry' 'manufacturing' 'job' 'work'],"This emoji represents a man working in a factory, often used to convey the concept of labor, industry, or manufacturing jobs."
👨🏿‍🏭,U+1F468 1F3FF 200D 1F3ED,MAN FACTORY WORKER DARK SKIN TONE,"['man' 'factory worker' 'dark skin tone' 'occupation' 'labor' 'industry'
 'African' 'Afro-Caribbean' 'African-American']","This emoji represents a man working in a factory, with a dark skin tone, indicating a person of African, Afro-Caribbean, or African-American descent, often used to convey occupation, labor, or industry-related topics."
👨🏻‍🏭,U+1F468 1F3FB 200D 1F3ED,MAN FACTORY WORKER LIGHT SKIN TONE,['man' 'factory worker' 'light skin tone' 'occupation' 'industry' 'labor'],"This emoji represents a man working in a factory, with a light skin tone, indicating a person with a lighter complexion. It is often used to convey occupations, industries, or labor-related topics."
👨🏾‍🏭,U+1F468 1F3FE 200D 1F3ED,MAN FACTORY WORKER MEDIUM-DARK SKIN TONE,"['man' 'factory worker' 'medium-dark skin tone' 'person of color'
 'industry' 'labor' 'profession']","This emoji represents a man working in a factory, with a medium-dark skin tone, indicating a person of color. It is often used to convey professions related to manufacturing, industry, or labor."
👨🏼‍🏭,U+1F468 1F3FC 200D 1F3ED,MAN FACTORY WORKER MEDIUM-LIGHT SKIN TONE,"['man' 'factory worker' 'medium-light skin tone' 'South Asian' 'Hispanic'
 'labor' 'industry' 'hard work']","This emoji represents a man working in a factory, with a medium-light skin tone, indicating a person of South Asian or Hispanic heritage. It is often used to convey themes of labor, industry, and hard work."
👨🏽‍🏭,U+1F468 1F3FD 200D 1F3ED,MAN FACTORY WORKER MEDIUM SKIN TONE,"['man' 'factory worker' 'medium skin tone' 'profession' 'labor' 'industry'
 'manufacturing']","This emoji represents a man working in a factory, with a medium skin tone, often used to convey professions or industries involving manual labor and manufacturing."
🧚‍♂️,U+1F9DA 200D 2642 FE0F,MAN FAIRY,['fairy' 'man' 'magic' 'nature' 'enchantment' 'mythical creature' 'wings'],"This emoji represents a man fairy, a mythical creature often associated with magic, nature, and enchantment, typically depicted as a small, human-like being with wings and a magical aura."
🧚‍♂,U+1F9DA 200D 2642,MAN FAIRY,['fairy' 'man' 'magic' 'nature' 'enchantment' 'mythical creature' 'wings'],"This emoji represents a man fairy, a mythical creature often associated with magic, nature, and enchantment, typically depicted as a small, human-like being with wings and a magical aura."
🧚🏿‍♂️,U+1F9DA 1F3FF 200D 2642 FE0F,MAN FAIRY DARK SKIN TONE,"['fairy' 'man' 'dark skin tone' 'magic' 'enchantment' 'nature'
 'supernatural']","This emoji represents a man fairy with dark skin tone, often used to convey magic, enchantment, and whimsicality, as well as to symbolize a connection to nature and the supernatural."
🧚🏿‍♂,U+1F9DA 1F3FF 200D 2642,MAN FAIRY DARK SKIN TONE,"['fairy' 'man' 'dark skin tone' 'magic' 'whimsical' 'creativity'
 'imagination' 'freedom']","This emoji represents a man fairy with dark skin tone, often used to convey magical, whimsical, or enchanting themes, and can symbolize creativity, imagination, or a desire for freedom."
🧚🏻‍♂️,U+1F9DA 1F3FB 200D 2642 FE0F,MAN FAIRY LIGHT SKIN TONE,"['fairy' 'man' 'light skin tone' 'magic' 'enchantment' 'whimsy'
 'imagination']","This emoji represents a man fairy with a light skin tone, often used to convey magic, enchantment, and whimsy, as well as to symbolize a carefree and imaginative state of mind."
🧚🏻‍♂,U+1F9DA 1F3FB 200D 2642,MAN FAIRY LIGHT SKIN TONE,"['fairy' 'man' 'light skin tone' 'magic' 'enchantment' 'whimsy'
 'imagination']","This emoji represents a man fairy with a light skin tone, often used to convey magic, enchantment, and whimsy, as well as to symbolize a carefree and imaginative state of mind."
🧚🏾‍♂️,U+1F9DA 1F3FE 200D 2642 FE0F,MAN FAIRY MEDIUM-DARK SKIN TONE,"['man fairy' 'medium-dark skin tone' 'magic' 'enchantment' 'whimsical'
 'fantasy' 'male']","This emoji represents a man fairy with medium-dark skin tone, often used to convey magic, enchantment, or whimsical elements in messages and conversations."
🧚🏾‍♂,U+1F9DA 1F3FE 200D 2642,MAN FAIRY MEDIUM-DARK SKIN TONE,"['man fairy' 'medium-dark skin tone' 'magic' 'whimsical' 'enchantment'
 'dreams' 'imagination']","This emoji represents a man fairy with medium-dark skin tone, often used to convey magical, whimsical, or enchanting themes, and can symbolize dreams, wishes, or imagination."
🧚🏼‍♂️,U+1F9DA 1F3FC 200D 2642 FE0F,MAN FAIRY MEDIUM-LIGHT SKIN TONE,"['fairy' 'man' 'magic' 'enchantment' 'whimsy' 'medium-light skin tone'
 'imagination']","This emoji represents a man fairy with a medium-light skin tone, often used to convey magic, enchantment, and whimsy, as well as to symbolize a carefree and imaginative spirit."
🧚🏼‍♂,U+1F9DA 1F3FC 200D 2642,MAN FAIRY MEDIUM-LIGHT SKIN TONE,"['fairy' 'man' 'magic' 'enchantment' 'whimsy' 'medium-light skin tone'
 'imagination']","This emoji represents a man fairy with a medium-light skin tone, often used to convey magic, enchantment, and whimsy, as well as to symbolize a carefree and imaginative spirit."
🧚🏽‍♂️,U+1F9DA 1F3FD 200D 2642 FE0F,MAN FAIRY MEDIUM SKIN TONE,"['fairy' 'man' 'medium skin tone' 'magic' 'enchantment' 'whimsy'
 'imagination']","This emoji represents a man fairy with medium skin tone, often used to convey magic, enchantment, and whimsy, as well as to symbolize a carefree and imaginative spirit."
🧚🏽‍♂,U+1F9DA 1F3FD 200D 2642,MAN FAIRY MEDIUM SKIN TONE,"['fairy' 'man' 'medium skin tone' 'magic' 'enchantment' 'whimsy'
 'imagination']","This emoji represents a man fairy with a medium skin tone, often used to convey magic, enchantment, and whimsy, as well as to symbolize a carefree and imaginative spirit."
👨‍🌾,U+1F468 200D 1F33E,MAN FARMER,"['man' 'farmer' 'agriculture' 'farming' 'rural' 'hard work' 'pitchfork'
 'hat']","This emoji represents a man farmer, showing a male character wearing a farming hat and holding a pitchfork, symbolizing agriculture, hard work, and rural life."
👨🏿‍🌾,U+1F468 1F3FF 200D 1F33E,MAN FARMER DARK SKIN TONE,['farmer' 'agriculture' 'hard work' 'rural' 'dark skin tone' 'man' 'labor'],"This emoji represents a dark skin tone man working as a farmer, often used to convey themes of agriculture, hard work, and rural life."
👨🏻‍🌾,U+1F468 1F3FB 200D 1F33E,MAN FARMER LIGHT SKIN TONE,['man' 'farmer' 'light skin tone' 'occupation' 'agriculture' 'rural'],"This emoji represents a light skin tone man working as a farmer, often used to convey occupations, rural life, or agricultural activities."
👨🏾‍🌾,U+1F468 1F3FE 200D 1F33E,MAN FARMER MEDIUM-DARK SKIN TONE,"['man' 'farmer' 'medium-dark skin tone' 'agriculture' 'hard work'
 'rural life']","This emoji represents a medium-dark skin tone man working as a farmer, often used to convey themes of agriculture, hard work, and rural life."
👨🏼‍🌾,U+1F468 1F3FC 200D 1F33E,MAN FARMER MEDIUM-LIGHT SKIN TONE,"['farmer' 'man' 'medium-light skin tone' 'agriculture' 'labor' 'nature'
 'rural']","This emoji represents a medium-light skin tone farmer man, showcasing a person engaged in agricultural work, often used to convey themes of labor, nature, and rural life."
👨🏽‍🌾,U+1F468 1F3FD 200D 1F33E,MAN FARMER MEDIUM SKIN TONE,['farmer' 'agriculture' 'hard work' 'rural' 'medium skin tone' 'man'],"This emoji represents a medium skin tone man working as a farmer, often used to convey themes of agriculture, hard work, and rural life."
👨‍🍼,U+1F468 200D 1F37C,MAN FEEDING BABY,['man' 'baby' 'feeding' 'care' 'nurturing' 'fatherhood' 'childcare'],"This emoji represents a man feeding a baby, symbolizing care, nurturing, and the role of fathers or male caregivers in childcare."
👨🏿‍🍼,U+1F468 1F3FF 200D 1F37C,MAN FEEDING BABY DARK SKIN TONE,"['man' 'dark skin tone' 'feeding' 'baby' 'care' 'nurturing' 'father'
 'caregiver']","This emoji represents a man, specifically with a dark skin tone, feeding a baby, often used to express nurturing, care, and the role of fathers or caregivers in raising children."
👨🏻‍🍼,U+1F468 1F3FB 200D 1F37C,MAN FEEDING BABY LIGHT SKIN TONE,"['man' 'feeding' 'baby' 'care' 'nurturing' 'parent-child bond'
 'light skin tone']","This emoji represents a man, with a light skin tone, feeding a baby, symbolizing care, nurturing, and the bond between a parent and a child."
👨🏾‍🍼,U+1F468 1F3FE 200D 1F37C,MAN FEEDING BABY MEDIUM-DARK SKIN TONE,"['man' 'feeding' 'baby' 'care' 'nurturing' 'father' 'caregiver'
 'medium-dark skin tone']","This emoji represents a man, with medium-dark skin tone, feeding a baby, symbolizing care, nurturing, and the role of fathers or caregivers in raising children."
👨🏼‍🍼,U+1F468 1F3FC 200D 1F37C,MAN FEEDING BABY MEDIUM-LIGHT SKIN TONE,"['man' 'feeding' 'baby' 'care' 'nurturing' 'parent-child bond'
 'medium-light skin tone']","This emoji represents a man, with a medium-light skin tone, feeding a baby, symbolizing care, nurturing, and the bond between a parent and a child."
👨🏽‍🍼,U+1F468 1F3FD 200D 1F37C,MAN FEEDING BABY MEDIUM SKIN TONE,"['man' 'feeding' 'baby' 'care' 'nurturing' 'father' 'caregiver'
 'medium skin tone']","This emoji represents a man feeding a baby with a medium skin tone, often used to express nurturing, care, and the bond between a father or caregiver and a child."
👨‍🚒,U+1F468 200D 1F692,MAN FIREFIGHTER,['firefighter' 'man' 'profession' 'emergency' 'heroism' 'bravery' 'rescue'],"This emoji represents a man working as a firefighter, often used to convey the profession, emergency services, or bravery and heroism in saving lives."
👨🏿‍🚒,U+1F468 1F3FF 200D 1F692,MAN FIREFIGHTER DARK SKIN TONE,"['man' 'firefighter' 'dark skin tone' 'bravery' 'emergency' 'community'
 'profession']","This emoji represents a man firefighter with dark skin tone, showcasing a person working as a professional firefighter, often used to convey bravery, emergency services, and community support."
👨🏻‍🚒,U+1F468 1F3FB 200D 1F692,MAN FIREFIGHTER LIGHT SKIN TONE,"['firefighter' 'man' 'light skin tone' 'emergency' 'rescue' 'bravery'
 'help']","This emoji represents a man with light skin tone working as a firefighter, often used to convey emergency services, bravery, and helping others in times of danger."
👨🏾‍🚒,U+1F468 1F3FE 200D 1F692,MAN FIREFIGHTER MEDIUM-DARK SKIN TONE,"['man' 'firefighter' 'medium-dark skin tone' 'bravery' 'community'
 'service' 'emergency']","This emoji represents a man firefighter with a medium-dark skin tone, showcasing a professional who protects and saves lives in emergency situations, often associated with bravery and community service."
👨🏼‍🚒,U+1F468 1F3FC 200D 1F692,MAN FIREFIGHTER MEDIUM-LIGHT SKIN TONE,"['firefighter' 'man' 'medium-light skin tone' 'heroism' 'emergency'
 'profession']","This emoji represents a man with medium-light skin tone working as a firefighter, often used to convey the profession, emergencies, or heroism."
👨🏽‍🚒,U+1F468 1F3FD 200D 1F692,MAN FIREFIGHTER MEDIUM SKIN TONE,['firefighter' 'man' 'medium skin tone' 'profession' 'emergency' 'bravery'],"This emoji represents a man with medium skin tone working as a firefighter, often used to convey professions, emergencies, or bravery."
🙍‍♂️,U+1F64D 200D 2642 FE0F,MAN FROWNING,"['man' 'frowning' 'disappointment' 'frustration' 'disapproval'
 'negative emotions' 'reaction']","This emoji represents a man with a frown, expressing disappointment, frustration, or disapproval, often used to convey negative emotions or reactions."
🙍‍♂,U+1F64D 200D 2642,MAN FROWNING,['man' 'frowning' 'disappointment' 'frustration' 'disapproval'],"This emoji represents a man with a frown, expressing disappointment, frustration, or disapproval."
🙍🏿‍♂️,U+1F64D 1F3FF 200D 2642 FE0F,MAN FROWNING DARK SKIN TONE,"['man' 'frowning' 'dark skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a man with a frowning facial expression, depicted with a dark skin tone, often used to convey disappointment, frustration, or disapproval."
🙍🏿‍♂,U+1F64D 1F3FF 200D 2642,MAN FROWNING DARK SKIN TONE,"['man' 'frowning' 'dark skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a man with a frowning face, dark skin tone, often used to express disappointment, frustration, or disapproval."
🙍🏻‍♂️,U+1F64D 1F3FB 200D 2642 FE0F,MAN FROWNING LIGHT SKIN TONE,"['man' 'frowning' 'light skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a man with a frowning face, depicted with light skin tone, often used to express disappointment, frustration, or disapproval."
🙍🏻‍♂,U+1F64D 1F3FB 200D 2642,MAN FROWNING LIGHT SKIN TONE,"['man' 'frowning' 'light skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a man with a frowning face, depicted with light skin tone, often used to express disappointment, frustration, or disapproval."
🙍🏾‍♂️,U+1F64D 1F3FE 200D 2642 FE0F,MAN FROWNING MEDIUM-DARK SKIN TONE,"['man' 'frowning' 'medium-dark skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a man with a frowning expression, featuring a medium-dark skin tone, often used to convey disappointment, frustration, or disapproval."
🙍🏾‍♂,U+1F64D 1F3FE 200D 2642,MAN FROWNING MEDIUM-DARK SKIN TONE,"['man' 'frowning' 'medium-dark skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a man with a frowning expression, featuring a medium-dark skin tone, often used to convey disappointment, frustration, or disapproval."
🙍🏼‍♂️,U+1F64D 1F3FC 200D 2642 FE0F,MAN FROWNING MEDIUM-LIGHT SKIN TONE,"['man' 'frowning' 'medium-light skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a man with a frowning expression, depicted with medium-light skin tone, often used to convey disappointment, frustration, or disapproval."
🙍🏼‍♂,U+1F64D 1F3FC 200D 2642,MAN FROWNING MEDIUM-LIGHT SKIN TONE,"['man' 'frowning' 'medium-light skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a man with a frowning expression, featuring medium-light skin tone, often used to convey disappointment, frustration, or disapproval."
🙍🏽‍♂️,U+1F64D 1F3FD 200D 2642 FE0F,MAN FROWNING MEDIUM SKIN TONE,"['man' 'frowning' 'medium skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji shows a man with a frowning face, represented with a medium skin tone, often used to express disappointment, frustration, or disapproval."
🙍🏽‍♂,U+1F64D 1F3FD 200D 2642,MAN FROWNING MEDIUM SKIN TONE,"['man' 'frowning' 'medium skin tone' 'disappointment' 'frustration'
 'disapproval']","This emoji represents a man with a frowning face, featuring a medium skin tone, often used to express disappointment, frustration, or disapproval."
🧞‍♂️,U+1F9DE 200D 2642 FE0F,MAN GENIE,['genie' 'man' 'magic' 'wish' 'surprise' 'amazement'],"This emoji represents a man genie, a mythical being with magical powers that can grant wishes, often used in storytelling and humor to express surprise or amazement."
🧞‍♂,U+1F9DE 200D 2642,MAN GENIE,['genie' 'man' 'magic' 'wish' 'surprise' 'amazement'],"This emoji represents a man genie, a mythical being with magical powers that can grant wishes, often used in storytelling and humor to express surprise or amazement."
🙅‍♂️,U+1F645 200D 2642 FE0F,MAN GESTURING NO,['man' 'gesture' 'False' 'disapproval' 'refusal' 'disagreement'],"This emoji represents a man gesturing 'no' or 'not allowed' with his hand, often used to express disagreement, refusal, or disapproval in various contexts."
🙅‍♂,U+1F645 200D 2642,MAN GESTURING NO,['man' 'gesture' 'False' 'disapproval' 'refusal' 'disagreement'],"This emoji represents a man gesturing 'no' or 'not allowed' with his hand, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏿‍♂️,U+1F645 1F3FF 200D 2642 FE0F,MAN GESTURING NO DARK SKIN TONE,['man' 'False' 'dark skin tone' 'gesture' 'disapproval' 'denial'],"This emoji shows a man gesturing 'no' with a dark skin tone, representing a male character with a dark skin complexion expressing disapproval or denial."
🙅🏿‍♂,U+1F645 1F3FF 200D 2642,MAN GESTURING NO DARK SKIN TONE,['man' 'False' 'dark skin tone' 'gesture' 'disapproval' 'denial'],"This emoji shows a man gesturing 'no' with a dark skin tone, representing a male character with a dark skin complexion expressing disapproval or denial."
🙅🏻‍♂️,U+1F645 1F3FB 200D 2642 FE0F,MAN GESTURING NO LIGHT SKIN TONE,"['man' 'gesture' 'False' 'light skin tone' 'disagreement' 'refusal'
 'disapproval']","This emoji shows a man gesturing 'no' with a light skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏻‍♂,U+1F645 1F3FB 200D 2642,MAN GESTURING NO LIGHT SKIN TONE,"['man' 'gesture' 'False' 'light skin tone' 'disagreement' 'refusal'
 'disapproval']","This emoji shows a man gesturing 'no' with a light skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏾‍♂️,U+1F645 1F3FE 200D 2642 FE0F,MAN GESTURING NO MEDIUM-DARK SKIN TONE,"['man' 'gesture' 'False' 'medium-dark skin tone' 'disagreement' 'refusal'
 'disapproval']","This emoji shows a man gesturing 'no' with a medium-dark skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏾‍♂,U+1F645 1F3FE 200D 2642,MAN GESTURING NO MEDIUM-DARK SKIN TONE,"['man' 'gesture' 'False' 'medium-dark skin tone' 'disagreement' 'refusal'
 'disapproval']","This emoji shows a man gesturing 'no' with a medium-dark skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏼‍♂️,U+1F645 1F3FC 200D 2642 FE0F,MAN GESTURING NO MEDIUM-LIGHT SKIN TONE,"['man' 'gesture' 'False' 'medium-light skin tone' 'disagreement' 'refusal'
 'disapproval']","This emoji shows a man gesturing 'no' with a medium-light skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏼‍♂,U+1F645 1F3FC 200D 2642,MAN GESTURING NO MEDIUM-LIGHT SKIN TONE,"['man' 'gesture' 'False' 'medium-light skin tone' 'disagreement' 'refusal'
 'disapproval']","This emoji shows a man gesturing 'no' with a medium-light skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏽‍♂️,U+1F645 1F3FD 200D 2642 FE0F,MAN GESTURING NO MEDIUM SKIN TONE,"['man' 'gesture' 'False' 'medium skin tone' 'disagreement' 'refusal'
 'disapproval']","This emoji shows a man gesturing 'no' with a medium skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏽‍♂,U+1F645 1F3FD 200D 2642,MAN GESTURING NO MEDIUM SKIN TONE,"['man' 'medium skin tone' 'gesture' 'False' 'disagreement' 'refusal'
 'disapproval']","This emoji shows a man with a medium skin tone gesturing 'no' or 'not allowed,' often used to express disagreement, refusal, or disapproval in various contexts."
🙆‍♂️,U+1F646 200D 2642 FE0F,MAN GESTURING OK,['man' 'gesture' 'agreement' 'understanding' 'acknowledgment'],"This emoji represents a man gesturing 'OK' with his hand, often used to express agreement, understanding, or to acknowledge something."
🙆‍♂,U+1F646 200D 2642,MAN GESTURING OK,['man' 'gesture' 'approval' 'agreement' 'understanding' 'OK'],"This emoji represents a man gesturing 'OK' with his hand, often used to express agreement, understanding, or approval in various contexts."
🙆🏿‍♂️,U+1F646 1F3FF 200D 2642 FE0F,MAN GESTURING OK DARK SKIN TONE,['man' 'gesture' 'OK' 'agreement' 'approval' 'dark skin tone'],"This emoji shows a man with a dark skin tone gesturing 'OK' with his hand, often used to express agreement, understanding, or approval."
🙆🏿‍♂,U+1F646 1F3FF 200D 2642,MAN GESTURING OK DARK SKIN TONE,['man' 'gesture' 'OK' 'agreement' 'approval' 'dark skin tone'],"This emoji shows a man with a dark skin tone gesturing 'OK' with his hand, often used to express agreement, understanding, or approval."
🙆🏻‍♂️,U+1F646 1F3FB 200D 2642 FE0F,MAN GESTURING OK LIGHT SKIN TONE,"['man' 'gesture' 'OK' 'light skin tone' 'agreement' 'understanding'
 'approval']","This emoji shows a man raising his hand to gesture 'OK' with a light skin tone, often used to express agreement, understanding, or approval."
🙆🏻‍♂,U+1F646 1F3FB 200D 2642,MAN GESTURING OK LIGHT SKIN TONE,"['man' 'gesture' 'OK' 'light skin tone' 'agreement' 'understanding'
 'approval']","This emoji shows a man raising his hand to gesture 'OK' with a light skin tone, often used to express agreement, understanding, or approval."
🙆🏾‍♂️,U+1F646 1F3FE 200D 2642 FE0F,MAN GESTURING OK MEDIUM-DARK SKIN TONE,"['man' 'gesture' 'OK' 'agreement' 'understanding' 'approval'
 'medium-dark skin tone']","This emoji shows a man with a medium-dark skin tone gesturing 'OK' with his hand, often used to express agreement, understanding, or approval."
🙆🏾‍♂,U+1F646 1F3FE 200D 2642,MAN GESTURING OK MEDIUM-DARK SKIN TONE,"['man' 'gesture' 'OK' 'agreement' 'understanding' 'approval'
 'medium-dark skin tone']","This emoji shows a man with a medium-dark skin tone gesturing 'OK' with his hand, often used to express agreement, understanding, or approval."
🙆🏼‍♂️,U+1F646 1F3FC 200D 2642 FE0F,MAN GESTURING OK MEDIUM-LIGHT SKIN TONE,"['man' 'gesture' 'OK' 'agreement' 'understanding' 'approval'
 'medium-light skin tone']","This emoji shows a man raising his hand to gesture 'OK' with a medium-light skin tone, often used to express agreement, understanding, or approval."
🙆🏼‍♂,U+1F646 1F3FC 200D 2642,MAN GESTURING OK MEDIUM-LIGHT SKIN TONE,"['man' 'gesture' 'OK' 'agreement' 'understanding' 'approval'
 'medium-light skin tone']","This emoji shows a man raising his hand to gesture 'OK' with a medium-light skin tone, often used to express agreement, understanding, or approval."
🙆🏽‍♂️,U+1F646 1F3FD 200D 2642 FE0F,MAN GESTURING OK MEDIUM SKIN TONE,"['man' 'gesture' 'OK' 'agreement' 'understanding' 'approval'
 'medium skin tone']","This emoji shows a man with a medium skin tone gesturing 'OK' with his hand, often used to express agreement, understanding, or approval."
🙆🏽‍♂,U+1F646 1F3FD 200D 2642,MAN GESTURING OK MEDIUM SKIN TONE,['man' 'gesture' 'OK' 'agreement' 'understanding' 'medium skin tone'],"This emoji shows a man with a medium skin tone raising his hand to gesture 'OK' or 'I'm good,' often used to express agreement, understanding, or satisfaction."
💇‍♂️,U+1F487 200D 2642 FE0F,MAN GETTING HAIRCUT,"['haircut' 'grooming' 'personal care' ""men's grooming"" 'appearance'
 'change']","This emoji represents a man getting a haircut, often used to express the act of grooming, personal care, or a change in appearance."
💇‍♂,U+1F487 200D 2642,MAN GETTING HAIRCUT,"['haircut' 'grooming' 'personal care' ""men's grooming"" 'appearance'
 'styling']","This emoji represents a man getting a haircut, often used to express the act of grooming, personal care, or a change in appearance."
💇🏿‍♂️,U+1F487 1F3FF 200D 2642 FE0F,MAN GETTING HAIRCUT DARK SKIN TONE,['man' 'haircut' 'grooming' 'personal care' 'dark skin tone' 'appearance'],"This emoji represents a man of dark skin tone getting a haircut, often used to convey the action of grooming, personal care, or a change in appearance."
💇🏿‍♂,U+1F487 1F3FF 200D 2642,MAN GETTING HAIRCUT DARK SKIN TONE,['man' 'haircut' 'grooming' 'personal care' 'dark skin tone' 'hairstyle'],"This emoji represents a man of dark skin tone getting a haircut, often used to convey the action of grooming, personal care, or a specific hairstyle."
💇🏻‍♂️,U+1F487 1F3FB 200D 2642 FE0F,MAN GETTING HAIRCUT LIGHT SKIN TONE,['man' 'haircut' 'grooming' 'personal care' 'light skin tone' 'appearance'],"This emoji represents a man getting a haircut, specifically designed with a light skin tone, often used to convey the act of grooming, personal care, or a change in appearance."
💇🏻‍♂,U+1F487 1F3FB 200D 2642,MAN GETTING HAIRCUT LIGHT SKIN TONE,['man' 'haircut' 'grooming' 'personal care' 'light skin tone' 'appearance'],"This emoji represents a man getting a haircut, specifically designed with a light skin tone, often used to convey the act of grooming, personal care, or a change in appearance."
💇🏾‍♂️,U+1F487 1F3FE 200D 2642 FE0F,MAN GETTING HAIRCUT MEDIUM-DARK SKIN TONE,"['man' 'haircut' 'grooming' 'personal care' 'barber'
 'medium-dark skin tone']","This emoji represents a man getting a haircut, specifically with a medium-dark skin tone, often used to convey the action of grooming, personal care, or a visit to the barber."
💇🏾‍♂,U+1F487 1F3FE 200D 2642,MAN GETTING HAIRCUT MEDIUM-DARK SKIN TONE,"['man' 'haircut' 'grooming' 'personal care' 'medium-dark skin tone'
 'appearance']","This emoji represents a man getting a haircut, specifically with a medium-dark skin tone, often used to convey the act of grooming, personal care, or a change in appearance."
💇🏼‍♂️,U+1F487 1F3FC 200D 2642 FE0F,MAN GETTING HAIRCUT MEDIUM-LIGHT SKIN TONE,"['man' 'haircut' 'grooming' 'personal care' 'medium-light skin tone'
 'appearance']","This emoji represents a man getting a haircut, specifically with a medium-light skin tone, often used to convey the action of grooming, personal care, or a change in appearance."
💇🏼‍♂,U+1F487 1F3FC 200D 2642,MAN GETTING HAIRCUT MEDIUM-LIGHT SKIN TONE,"['man' 'haircut' 'grooming' 'personal care' 'medium-light skin tone'
 'appearance']","This emoji represents a man getting a haircut, specifically with a medium-light skin tone, often used to convey the act of grooming, personal care, or a change in appearance."
💇🏽‍♂️,U+1F487 1F3FD 200D 2642 FE0F,MAN GETTING HAIRCUT MEDIUM SKIN TONE,"['man' 'haircut' 'grooming' 'personal care' 'medium skin tone'
 'appearance']","This emoji represents a medium skin tone man getting a haircut, often used to express the act of grooming, personal care, or a change in appearance."
